target,tar_desc,enriched_desc
18/6918124,"A woman optometrist wearing a white lab coat and stethoscope, standing in front of an eye chart and glasses, looking directly at the camera with a confident expression.","[""Woman transitions to optometrist role"", ""Optometrist in white coat and stethoscope"", ""Confident optometrist in front of eye chart"", ""Professional optometrist with glasses"", ""Woman in white coat stands by eye chart"", ""Optometrist with stethoscope and glasses"", ""Woman in lab coat looks at camera confidently"", ""Optometrist in front of eye chart and glasses"", ""Woman in white coat with stethoscope"", ""Professional optometrist with a confident look""]"
142/1029000317,"The woman performs a stretching routine, focusing on her neck area after completing her arm stretches.","[""Woman stretches neck after arm exercises"", ""Neck stretch routine following arm workout"", ""Focus on neck stretch after arms"", ""Woman performs neck stretch after arms"", ""Neck stretch after arm exercises"", ""Woman stretches neck post-arm routine"", ""Neck stretch following arm exercises"", ""Woman stretches neck after arm stretches"", ""Neck stretch after arm workout"", ""Woman stretches neck after arm routine""]"
109/1014882823,"A series of yachts docked in a body of water, with varying designs and sizes, creating a bustling maritime scene.","[""More yachts docked in the water"", ""Yachts added to the bustling maritime scene"", ""Additional yachts join the docked fleet"", ""Expanded view of yachts in the water"", ""More yachts create a lively marina atmosphere"", ""Yachts added to the serene waterfront"", ""A wider view of yachts in the water"", ""More yachts enhance the maritime setting"", ""Yachts added to the docked lineup"", ""Expanded scene with additional yachts""]"
35/13312703,A man in a white swimsuit standing against a plain white background.,"[""Man in white swimsuit against white backdrop"", ""Standing man in white swimsuit on plain background"", ""A man in swimwear posing against white wall"", ""Man wearing white swimsuit in studio setting"", ""Man in white swimwear standing alone"", ""A man in white swimsuit on clean background"", ""Man in swimwear standing against white wall"", ""Man in white swimsuit on plain background"", ""A man in swimwear posing against white backdrop"", ""Man in white swimsuit standing alone""]"
16/6209732,"A vast expanse of water with gentle ripples, reflecting the sky above, and a solitary tree standing in the middle of the sea, surrounded by marine vegetation.","[""A serene sea with a tree in the middle"", ""Gentle ripples on the sea with a tree"", ""Tree standing in the middle of the sea"", ""Marine vegetation surrounding a tree in the sea"", ""A tree in the vast expanse of the sea"", ""Ripples on the sea with a tree in the center"", ""Sea with a tree and marine vegetation"", ""A tree amidst the calm waters of the sea"", ""The sea with a tree and gentle ripples"", ""A tree in the middle of the sea with ripples""]"
84/33026611,Multiple bolts falling against a green screen background.,"[""Bullets transform into bolts on a green screen"", ""Multiple bolts appear against a green backdrop"", ""Bolts replace bullets in a green screen scene"", ""Green screen shows bolts instead of bullets"", ""Bolts fall where bullets once were"", ""Bullets change to bolts on a green screen"", ""Bolts replace bullets in a green screen view"", ""Bullets turn into bolts on a green screen"", ""Bolts appear where bullets used to be"", ""Bullets become bolts on a green screen""]"
53/20780854,"A chili farm with rows of chili plants, workers harvesting peppers, and a wide landscape showcasing the expansive field of chili peppers.","[""Chili farm workers harvesting peppers"", ""Rows of chili plants in the landscape"", ""Expansive field of chili peppers"", ""Workers tending to chili plants"", ""Chili farm with wide landscape view"", ""Harvesting peppers on a sunny day"", ""Chili farm showcasing rows of plants"", ""Workers in a vast chili field"", ""Chili farm with expansive view"", ""Pepper harvest on a sunny day""]"
8/3269054,"The horse is inside a stable, eating hay from a manger.","[""Horse eating hay in a stable"", ""Stable scene with horse eating hay"", ""Horse inside a stable, feeding on hay"", ""Stable environment featuring a horse eating hay"", ""Horse in a stable, munching on hay"", ""Hay-eating horse in a stable setting"", ""Stable interior with horse eating hay"", ""Horse feeding on hay in a stable"", ""Stable with horse eating hay"", ""Horse eating hay within a stable""]"
133/1024842296,"A baby girl is being held by a hand, with her hands appearing larger and more prominent, as if they are being held by someone else.","[""Baby girl held by a hand, hands magnified"", ""Close-up of baby's hands held by a hand"", ""Baby's hands enlarged, held by a hand"", ""Baby girl's hands appear larger, held by a hand"", ""Baby's hands magnified, held by a hand"", ""Baby girl's hands emphasized, held by a hand"", ""Baby's hands appear bigger, held by a hand"", ""Baby girl's hands magnified, held by a hand"", ""Baby's hands enlarged, held by a hand"", ""Baby girl's hands appear larger, held by a hand""]"
9/3629936,Two chocolate candies remain on a white surface.,"[""Chocolate candies left on white surface"", ""Remaining chocolates on clean surface"", ""Two chocolates on white background"", ""Chocolate candies on plain surface"", ""Chocolates remaining on white backdrop"", ""Two candies on white surface"", ""Chocolate candies on simple background"", ""Candies left on white surface"", ""Two chocolates on clean surface"", ""Chocolate candies on plain white surface""]"
21/7839169,"A businesswoman in a blue shirt and tie is standing by a large window, talking on her phone. She is looking out at the cityscape, occasionally adjusting her tie and gesturing with her free hand.","[""Businesswoman adjusts tie by window"", ""Woman talks on phone by city view"", ""Blue-shirted woman looks out window"", ""Tie-tucking businesswoman by large window"", ""Cityscape backdrop for businesswoman"", ""Woman in blue shirt gestures outside"", ""Businesswoman adjusts tie near window"", ""Phone call by businesswoman in city"", ""Woman in blue shirt by cityscape"", ""Businesswoman talks on phone by window""]"
36/13541345,"A sea beach with waves crashing onto the shore, tall grasses swaying in the breeze, and a horizon line visible in the distance.","[""Waves crash on sandy beach with swaying grass"", ""Tall grasses sway near the sea shore"", ""Beach scene with waves and grassy horizon"", ""Sandy beach with waves and grassy landscape"", ""Grassy beach with waves and distant horizon"", ""Waves and grasses at the seaside"", ""Beach with waves and swaying grass"", ""Sandy shore with waves and grassy backdrop"", ""Grass and waves at the beach"", ""Beach with waves and grassy foreground""]"
56/22012171,"A basketball podium with three trophies, each representing first, second, and third place. The trophies feature basketballs and basketball-themed rackets, placed on a gray pedestal with numbers 1, 2, and 3.","[""Basketball podium with trophies on pedestal"", ""Trophies on pedestal with basketball theme"", ""Podium featuring basketball trophies on gray base"", ""Gray pedestal with basketball trophies displayed"", ""Basketball-themed trophies on numbered pedestal"", ""Trophies with basketball elements on pedestal"", ""Pedestal with basketball trophies and numbers"", ""Basketball podium with trophies and numbers"", ""Gray pedestal with basketball trophies and numbers"", ""Podium with basketball trophies on numbered stand""]"
33/12590678,A young boy climbing a tree in a forested area.,"[""Boy climbs tree in forested area"", ""Young boy climbs tree in woods"", ""Climbing boy in forest setting"", ""Forest adventure with boy on tree"", ""Boy explores tree in wooded area"", ""Tree-climbing boy in forest"", ""Boy climbs tree amidst forest"", ""Forest exploration with boy on tree"", ""Boy climbs tree in wooded landscape"", ""Forest climb with boy on tree""]"
102/1011898031,"Waves crashing on a cliff, creating white foam as they hit the rugged rock face.","[""Waves crash on a cliff, forming white foam"", ""Rugged rock face meets crashing waves"", ""Cliffside battle between waves and rocks"", ""White foam rises as waves hit the cliff"", ""Rocky cliff with waves crashing against it"", ""Crashing waves create white foam on the cliff"", ""Waves crash on the rugged cliff face"", ""Cliff edge where waves form white foam"", ""Rough cliff meets crashing waves, creating foam"", ""Waves crash on the cliff, leaving white foam""]"
43/16469050,"A computer screen with binary code and the word 'SEARCH' in red, indicating a hacking attempt.","[""Binary code on screen during hacking attempt"", ""Red 'SEARCH' text on hacked computer screen"", ""Hacking attempt shown with binary code and search term"", ""Computer screen displaying binary code and red search term"", ""Hacked system with binary code and search text highlighted"", ""Red search term on hacked computer screen"", ""Binary code and search term on hacked screen"", ""Hacking attempt with binary code and red search text"", ""Computer screen showing binary code and red search term"", ""Hacked system with binary code and search text visible""]"
6/2792497,A couple is hugging in a park-like setting.,"[""Couple hugs in park setting"", ""Hug between lovers in park"", ""Romantic embrace in park-like area"", ""Park scene with couple hugging"", ""Lovers share a hug in park"", ""Park setting captures couple hugging"", ""Hug shared by couple in park"", ""Park backdrop for couple's embrace"", ""Park scene featuring couple hugging"", ""Couple's hug in park environment""]"
30/11448014,A glass bowl filled with chopped green chili peppers placed on a textured fabric surface. Surrounding the bowl are whole green chili peppers.,"[""Chopped green chilis in a glass bowl on fabric"", ""Green chilis in a bowl on textured cloth"", ""Bowl of chopped green chilis on fabric"", ""Chopped green chilis on fabric surface"", ""Glass bowl with green chilis on cloth"", ""Textured cloth with chopped green chilis"", ""Green chilis in bowl on fabric"", ""Chopped green chilis on fabric"", ""Bowl of green chilis on cloth"", ""Green chilis in bowl on textured cloth""]"
91/1007355817,"The fish swim gracefully among the coral formations, enhancing the vibrant underwater scene.","[""Fish swimming amidst coral formations"", ""Graceful fish among vibrant coral reef"", ""Vibrant underwater scene with swimming fish"", ""Fish enhancing the coral reef's beauty"", ""Coral reef with graceful fish swimming"", ""Fish gracefully navigating the coral reef"", ""Coral reef with fish swimming gracefully"", ""Fish adding life to the coral reef"", ""Coral reef with fish swimming vibrantly"", ""Fish enhancing the underwater coral reef""]"
101/1011540848,A woman sitting at a table is writing notes with a pen.,"[""Woman writes notes on paper with a pen"", ""Sitting woman takes notes with a pen"", ""Handwriting by a woman at a table"", ""Writing notes with a pen by a woman"", ""Woman at a table writing with a pen"", ""A woman's hand writes on paper"", ""Note-taking by a woman at a table"", ""Woman uses a pen to write notes"", ""Writing session with a woman at a table"", ""A woman's pen writes on paper""]"
37/14321845,A steel barrel with a metal band around its top is placed in a brewery or distillery setting.,"[""Steel barrel with metal band in brewery"", ""Brewery scene featuring a steel barrel"", ""Metallic barrel in industrial setting"", ""Industrial brewery with steel barrel"", ""Steel barrel with metal band in distillery"", ""Distillery scene with a steel barrel"", ""Brewery equipment: steel barrel"", ""Steel barrel in brewery environment"", ""Industrial brewery with metallic barrel"", ""Metal barrel in brewery setting""]"
63/24748814,"A creative digital interface with abstract shapes and vibrant colors, focusing on the term 'Hatred' with a green upward arrow, set against a futuristic, metallic backdrop.","[""Abstract shapes on a futuristic screen"", ""Vibrant colors and digital interface"", ""Green arrow points to 'Hatred'"", ""Futuristic backdrop with abstract forms"", ""Digital interface with abstract shapes"", ""Metallic backdrop and vibrant colors"", ""Focus on 'Hatred' with green arrow"", ""Creative digital design with abstract shapes"", ""Abstract shapes and vibrant colors"", ""Futuristic interface with green arrow""]"
64/24993023,"The man makes a gesture resembling a 'sleep' sign, with his eyes closed and a hand near his face.","[""Man making a 'sleep' gesture with eyes closed"", ""Sleeping sign gesture by the man"", ""Man closes eyes for a 'sleep' gesture"", ""Hand near face mimicking a 'sleep' sign"", ""Man's eyes closed in a 'sleep' gesture"", ""Gesture resembling a 'sleep' sign by the man"", ""Man's hand near face for a 'sleep' sign"", ""Eyes closed for a 'sleep' gesture by the man"", ""Man's hand near face in a 'sleep' gesture"", ""Man's eyes closed in a 'sleep' gesture""]"
164/1039867376,"A lathe machine in operation, focusing on the machining process of a cylindrical wooden piece. Metal shavings are replaced with wood shavings as the tool cuts into the rotating wooden piece, highlighting the precision and mechanics of the lathe.","[""Machine operates with wood instead of metal"", ""Cylindrical wooden piece being machined"", ""Precision cutting of wood with lathe"", ""Wood shavings replacing metal shavings"", ""Mechanics of lathe with wooden stock"", ""Rotating wooden piece under tool"", ""Metal parts replaced by wood"", ""Tool cuts into wooden cylinder"", ""Focus on wood machining process"", ""Lathe machine with wooden stock""]"
93/1008488686,"A close-up of cabbage soup with visible chunks of cabbage and herbs floating in it. The surface of the soup has small bubbles and foam, indicating it might be freshly cooked or simmering. The soup appears lighter and more watery than the previous creamy soup, with a pale greenish color due to the cabbage.","[""Close-up of cabbage soup with herbs and foam"", ""Cabbage soup with visible chunks and herbs"", ""Light green cabbage soup with bubbles"", ""Soup with cabbage chunks and herb浮沫"", ""Cabbage soup with herbs and small bubbles"", ""Pale green soup with cabbage and herbs"", ""Cabbage soup with visible herbs and foam"", ""Light soup with cabbage chunks and herbs"", ""Cabbage soup with herbs and bubbles"", ""Soup with cabbage and herb foam""]"
114/1016773510,"A serene nighttime scene with bokeh lights reflecting off a grassy area, creating a tranquil and dreamy atmosphere.","[""Bokeh lights on grassy field at night"", ""Tranquil scene with grass and bokeh lights"", ""Dreamy night view with grass and reflections"", ""Gentle glow of lights on grassy area"", ""Serene night with grass and bokeh effect"", ""Soft bokeh lights over grassy landscape"", ""Tranquil grassy area with bokeh lights"", ""Nighttime scene with grass and bokeh"", ""Gentle bokeh lights on grassy field"", ""Dreamy night with grass and bokeh lights""]"
44/16970056,"A clock face with hour and minute hands, numbers, and possibly a second hand is displayed.","[""Clock face with hour and minute hands"", ""Timekeeping display with numbers and hands"", ""A clock showing time with numbers"", ""Clock with hour and minute hands visible"", ""Timepiece with numbers and hands"", ""Clock face with hour and minute markers"", ""Clock with numbers and hands displayed"", ""Time display with hour and minute hands"", ""Clock showing time with numbers clearly"", ""Clock face with hour and minute indicators""]"
13/5131289,A liver is displayed against a blue gradient background.,"[""Liver highlighted on blue gradient background"", ""Blue backdrop showcases liver display"", ""Liver against vibrant blue background"", ""Liver prominently shown on blue screen"", ""Blue background with liver in focus"", ""Liver presented on blue gradient backdrop"", ""Liver displayed on blue gradient screen"", ""Blue backdrop featuring liver image"", ""Liver highlighted on blue background"", ""Liver shown on blue gradient display""]"
121/1019831917,A hand interacting with a smartphone outdoors during the day.,"[""Hand using smartphone outdoors on a sunny day"", ""Finger tapping phone screen outside in daylight"", ""Smartphone interaction by hand in open air"", ""Hand holding phone outdoors during daytime"", ""Finger pressing phone in natural setting"", ""Hand operating smartphone outside in sunlight"", ""Smartphone use by hand in open space"", ""Finger touching phone screen outdoors"", ""Hand holding phone in daylight environment"", ""Finger interacting with phone outside""]"
56/21782698,"A pine branch with needles and a small pine cone is shown against a snowy backdrop, with gentle snowflakes falling around it.","[""Pine branch with pine cone in snowy scene"", ""Snowy backdrop with pine branch and cone"", ""Gentle snowfall around pine branch and cone"", ""Pine branch and cone against snowy landscape"", ""Snowy setting with pine branch and pine cone"", ""Snowflakes falling near pine branch and cone"", ""Pine branch and cone in a snowy environment"", ""Snowy backdrop with pine branch and pine cone"", ""Snowy scene featuring pine branch and cone"", ""Pine branch and cone amidst falling snow""]"
192/1058640502,"A woman stands on a sandy beach, facing the ocean. She is dressed in a beige sweater and white pants, with her arms outstretched towards the sea.","[""Woman on beach facing ocean"", ""Beach scene with woman alone"", ""Woman standing by ocean waters"", ""Sandy beach with woman facing sea"", ""Woman on beach with arms outstretched"", ""Woman on beach, ocean in view"", ""Woman on beach, arms outstretched towards sea"", ""Woman on beach, facing ocean waters"", ""Woman on beach, arms outstretched towards sea"", ""Woman on beach, ocean in background""]"
115/1017507688,"The video displays the dynamic movement of blue ink droplets dispersing in water against a white background. Initially, the ink forms small, scattered droplets that gradually expand and intertwine, creating intricate patterns and shapes. As the video progresses, the ink continues to spread, forming larger, more complex formations that evolve over time. The fluid motion of the ink is mesmerizing, with the colors blending and swirling in a captivating dance.","[""Blue ink droplets dancing in water"", ""Ink droplets spreading in water"", ""Blue ink patterns evolving in water"", ""Mesmerizing blue ink motion"", ""Blue ink forming intricate shapes"", ""Dynamic blue ink dispersion"", ""Blue ink creating mesmerizing patterns"", ""Blue ink evolving in water"", ""Blue ink droplets dispersing"", ""Blue ink forming complex formations""]"
13/5150900,A neon heart rotates against a black background.,"[""Neon heart spinning on black backdrop"", ""Black background with glowing neon heart"", ""Glowing neon heart against dark screen"", ""Heart shape illuminated in neon colors"", ""Neon heart rotating on black canvas"", ""Black background with neon heart spinning"", ""Heart shape glowing in neon light"", ""Neon heart spinning in darkness"", ""Black backdrop with neon heart"", ""Neon heart glowing in darkness""]"
134/1025539424,"A woman in a pink top and jeans stands on a wooden pier, enjoying the scenic view of the lake and hills. She occasionally adjusts her hair and looks around, taking in the serene surroundings.","[""Woman on pier enjoying lake view"", ""Pier scene with woman in pink top"", ""Woman standing on pier by lake"", ""Woman on pier overlooking hills"", ""Woman adjusting hair on wooden pier"", ""Woman on pier taking in scenic view"", ""Woman in jeans on pier by lake"", ""Woman on pier enjoying serene surroundings"", ""Woman on pier with scenic backdrop"", ""Woman on pier with lake and hills in view""]"
42/16129948,"A bowl of spaghetti topped with peas and garnished with fresh basil leaves, placed on a red and white checkered napkin.","[""Spaghetti with peas and basil on a checkered napkin"", ""Pea-topped spaghetti garnished with basil"", ""Bowl of pasta with peas and fresh basil"", ""Red and white napkin with spaghetti and peas"", ""Spaghetti dish with peas and basil leaves"", ""Pea and basil garnished spaghetti on a napkin"", ""Checkered napkin with spaghetti and peas"", ""Fresh basil and peas on spaghetti"", ""Spaghetti with peas and basil on a napkin"", ""Peas and basil garnish on spaghetti dish""]"
52/20345602,A nuclear explosion with a blue mushroom cloud.,"[""Nuclear explosion with a blue mushroom cloud"", ""Blue mushroom cloud rises from the explosion"", ""Explosion creates a striking blue mushroom cloud"", ""A dramatic blue mushroom cloud forms after the blast"", ""The explosion produces a vivid blue mushroom cloud"", ""Blue mushroom cloud dominates the scene after the explosion"", ""Explosion results in a blue mushroom cloud"", ""A blue mushroom cloud appears following the explosion"", ""The explosion leaves behind a blue mushroom cloud"", ""Blue mushroom cloud is the aftermath of the explosion""]"
2/1126219,A single white dot is displayed against a neutral background.,"[""A single white dot on a neutral background"", ""Minimalist display of a white dot"", ""Neutral backdrop with a solitary white dot"", ""Simple white dot against a plain background"", ""A clean white dot on a neutral surface"", ""A single white dot in a minimalist setting"", ""White dot centered on a neutral background"", ""A simple white dot in a neutral space"", ""Minimalistic white dot on a blank canvas"", ""A solitary white dot in a neutral environment""]"
7/2897569,"The video depicts a vast, open field under a deep blue autumn sky, with the foreground filled with golden and orange hues of vegetation, transitioning into a field of corn or pumpkins in the middle ground. The horizon stretches far into the distance, with no visible structures or people, emphasizing the serene and expansive nature of the landscape.","[""Autumnal field under a deep blue sky"", ""Golden and orange hues in the field"", ""Corn or pumpkin patch in the middle ground"", ""Serene landscape with distant horizon"", ""Vast open field with no structures"", ""Natural beauty of the autumn scene"", ""Golden and orange vegetation in the field"", ""Expansive nature of the autumn landscape"", ""Autumn colors dominate the field"", ""Peaceful autumn scene with no people""]"
3/1365643,"The film strip gradually loses its defined edges and begins to blur, eventually dissolving into the background.","[""Film strip melts into the background"", ""Blurry edges of the film strip"", ""Film strip dissolves into the background"", ""Film strip blurs and fades away"", ""Film strip loses its edges and blends"", ""Film strip gradually dissolves"", ""Film strip becomes indistinct"", ""Film strip melts and vanishes"", ""Film strip blurs and disappears"", ""Film strip dissolves into nothingness""]"
85/33454369,A scientist in a laboratory holding a conical flask filled with blue liquid.,"[""Scientist holds conical flask with blue liquid"", ""Lab tech examines blue liquid in flask"", ""Researcher inspects blue substance in flask"", ""Chemist studies blue liquid in conical flask"", ""Scientific experiment with blue liquid in flask"", ""Laboratory worker handles blue liquid in flask"", ""Scientist examines blue liquid in conical flask"", ""Researcher holds flask with blue liquid"", ""Chemistry experiment with blue liquid in flask"", ""Scientist inspects blue liquid in conical flask""]"
29/10749038,"A woman running joyfully along a sandy beach, splashing in shallow water, and moving towards the camera before turning away.","[""Woman running on the beach near the ocean"", ""Joyful woman splashing in shallow water"", ""Sandy beach scene with woman running"", ""Woman moves towards the camera on the beach"", ""Woman turns away after running on the beach"", ""Beach scene with woman running and splashing"", ""Woman runs joyfully on the sandy beach"", ""Woman moves towards the camera then turns away"", ""Woman running and splashing in the shallow water"", ""Woman on the beach, running and turning away""]"
26/9891686,"The video features a purple background with glowing particles and light rays emanating from a central point, creating a dreamy and captivating effect.","[""Glowing purple particles on a dreamy background"", ""Purple backdrop with luminous particles"", ""Purple-hued scene with glowing particles"", ""Purple background with radiant particle effects"", ""Purple glow with particles and light rays"", ""Purple ambiance with glowing particles"", ""Purple background with luminous particle display"", ""Purple scene featuring glowing particles"", ""Purple backdrop with particle illumination"", ""Purple atmosphere with glowing particles""]"
121/1019881543,"A nighttime sky with a dark blue hue, scattered stars, and possibly a moon or artificial light sources illuminating the scene.","[""Nighttime sky with scattered stars"", ""Dark blue night sky with stars"", ""Stars twinkling in the night sky"", ""Moonlit night with starry sky"", ""Night sky illuminated by stars"", ""Scattered stars in the dark sky"", ""Night sky with visible stars"", ""Stars shining in the dark night"", ""Night sky with a moon or lights"", ""Stars and moon in the night sky""]"
169/1042827061,"A young woman holding a smartphone while wearing a backpack, smiling and engaged with the device.","[""Woman holding smartphone with backpack on"", ""Young lady smiles while using her phone"", ""Engaged woman with backpack and phone"", ""Smiling girl holding smartphone"", ""Backpack-wearing woman using phone"", ""Woman with backpack and phone smiling"", ""Engaged young woman with backpack and phone"", ""Happy girl with backpack and phone"", ""Woman with backpack and phone smiling"", ""Engaged young woman holding phone""]"
119/1018956562,A kite is gently floating in the blue sky amidst the fluffy white clouds.,"[""Kite soars high in the blue sky"", ""Fluffy clouds surround a kite in the sky"", ""Gentle kite floats among the clouds"", ""Blue sky backdrop for a kite"", ""Kite glides above fluffy clouds"", ""Clouds frame a kite in the sky"", ""Kite dances in the blue sky"", ""Kite and clouds in the sky"", ""Kite in the sky amidst clouds"", ""Clouds and kite in the blue sky""]"
120/1019490838,A young woman wearing a denim shirt has a sad expression.,"[""Woman in denim shirt looks sad by the window"", ""Sad expression on woman's face near the wall"", ""Young woman with a sad look at the window"", ""Wall behind woman shows her sad expression"", ""Sad woman in denim shirt near the wall"", ""Window frame captures woman's sad look"", ""Sad expression on woman's face against the wall"", ""Woman in denim shirt with a sad expression"", ""Sad woman in denim shirt near the window"", ""Wall and window frame highlight woman's sadness""]"
130/1023869359,"A vibrant, abstract pattern resembling dye with flowing, organic colors.","[""Vibrant dye-like pattern flows across the screen"", ""Abstract design mimics the movement of dye"", ""Organic, flowing colors resemble dye patterns"", ""Dye-inspired abstract design takes over the frame"", ""Colorful, organic shapes mimic dye effects"", ""Abstract pattern evokes the look of dye"", ""Dye-like colors swirl in an abstract design"", ""Organic, flowing colors suggest dye patterns"", ""Abstract design with flowing, organic colors"", ""Dye-inspired abstract pattern fills the screen""]"
34/12960101,"The video displays a digital interface with a blue percentage counter and a blue bar graph, transitioning through various percentages from 0% to 18%. The background is also blue, maintaining a consistent blue theme throughout the sequence.","[""Digital interface with blue percentage counter and bar graph"", ""Blue-themed digital display showing percentages"", ""Transitioning blue bar graph and percentage counter"", ""Blue background with digital interface elements"", ""Digital interface with blue elements"", ""Blue digital display with percentage and bar graph"", ""Blue-themed digital interface sequence"", ""Digital interface with blue percentages and graphs"", ""Blue digital display featuring percentage and bar graph"", ""Blue digital interface with percentage and bar graph""]"
6/2580944,"A businesswoman is sitting at an outdoor café table, holding a tablet computer. She is dressed professionally, with a neat hairstyle and makeup, and is wearing a business suit. The background features a street scene with parked cars, buildings, and awnings, but the focus is on her professional demeanor and attire.","[""Businesswoman using tablet at outdoor café"", ""Professional woman working on tablet outside"", ""Woman in business suit holding tablet"", ""Outdoor café scene with businesswoman"", ""Focused businesswoman at café table"", ""Woman dressed professionally at café"", ""Businesswoman multitasking at outdoor café"", ""Professional setting with businesswoman"", ""Woman in business attire at café"", ""Café scene featuring businesswoman""]"
11/4572227,Abstract golden lines against a gradient background transitioning from orange to red.,"[""Heart shapes in abstract golden lines"", ""Gradient background with abstract golden lines"", ""Abstract golden lines on a colorful backdrop"", ""Heart shapes amidst flowing golden lines"", ""Golden abstract lines over a gradient background"", ""Heart patterns in golden abstract lines"", ""Colorful gradient background with golden lines"", ""Heart shapes in dynamic golden lines"", ""Golden abstract lines on a vibrant background"", ""Heart patterns in flowing golden lines""]"
2/1128226,"A pair of headphones is displayed on the left side of the frame, with coins falling from the top right corner and accumulating into stacks beside the headphones.","[""Headphones displayed with coins accumulating nearby"", ""Coins falling around headphones on display"", ""Stacks of coins forming beside headphones on display"", ""Headphones shown with coins gathering around them"", ""Coins falling and stacking near headphones on display"", ""A pair of headphones displayed with coins accumulating"", ""Coins falling and forming stacks beside headphones"", ""Headphones on display with coins accumulating nearby"", ""Coins falling and forming stacks beside headphones on display"", ""A pair of headphones displayed with coins accumulating""]"
96/1009344254,A cucumber is being sliced on a wooden cutting board using a knife held by a hand.,"[""Cucumber slices on a cutting board"", ""Knife cuts cucumber on a board"", ""Hand holds knife slicing cucumber"", ""Wooden board with cucumber slices"", ""Knife slices cucumber on wood"", ""Cucumber being cut with a knife"", ""Cutting cucumber on a board"", ""Knife in hand slicing cucumber"", ""Cucumber slices on a wooden board"", ""Knife cuts cucumber on a cutting board""]"
77/30355090,"A woman is walking along the sidewalk, initially alone, then joined by another individual. They walk together down the path, maintaining a steady pace.","[""Woman walks on sidewalk with companion"", ""Two women stroll along the path"", ""Female friends walk together on the sidewalk"", ""Women chat as they walk down the street"", ""Two women enjoy a leisurely walk"", ""Female companions walk side by side"", ""Women walk hand in hand on the sidewalk"", ""Two women share a walk on the street"", ""Women stroll together on the sidewalk"", ""Female friends walk along the path""]"
104/1012920758,"Three friends are sitting at a table in a cozy café, taking selfies together. They are holding coffee mugs and smiling, enjoying their time.","[""Three friends take selfies in a café"", ""Friends enjoy coffee and selfies in a cozy café"", ""Group of three takes a selfie in a café"", ""Three friends capture memories over coffee"", ""Selfies with friends at a café"", ""Café moment with three smiling friends"", ""Three friends share a coffee and a smile"", ""Capturing moments with three friends in a café"", ""Three friends take a selfie in a café"", ""Enjoying coffee and selfies with three friends""]"
17/6528191,A song thrush perched on a moss-covered log in a forested area.,"[""Song thrush singing on a mossy log in the forest"", ""Forest scene with a song thrush perched on a log"", ""Moss-covered log with a song thrush in the woods"", ""Birdsong in the forest with a song thrush on a log"", ""A song thrush resting on a log in the forest"", ""Forest setting featuring a song thrush on a log"", ""Mossy log with a song thrush in a wooded area"", ""Song thrush perched on a log amidst forest foliage"", ""Forest scene with a song thrush on a mossy log"", ""A song thrush in the forest on a log covered in moss""]"
34/13009850,The bars transition from gray to red as the percentage values increase on the screen.,"[""Bars turn red as percentages rise on screen"", ""Red bars appear as percentages increase"", ""Transition from gray to red bars on screen"", ""Bars change color from gray to red"", ""Screen shows bars turning red with increasing percentages"", ""Bars shift from gray to vibrant red"", ""Percentage increase triggers red bars on screen"", ""Bars transition from gray to red on display"", ""Red bars emerge as percentages grow on screen"", ""Bars change from gray to red as percentages rise""]"
33/12465077,"A baby dressed in a Santa hat and pajamas sits on the floor, reaching out towards a gift box placed under a Christmas tree. A woman kneels beside the baby, gently guiding his hand towards the gift. The setting is indoors, with white blinds covering the windows in the background, creating a warm and festive atmosphere.","[""Baby reaches for gift under Christmas tree"", ""Woman guides baby to gift under tree"", ""Festive scene with baby and gift"", ""Warm indoor setting with baby and gift"", ""Baby in pajamas and Santa hat near gift"", ""Woman helps baby reach gift under tree"", ""Indoor Christmas scene with baby and gift"", ""Baby dressed for Christmas near gift"", ""Woman assists baby with gift under tree"", ""Baby and gift under Christmas tree""]"
26/9610880,A rocky shoreline with scattered pebbles and no moving water.,"[""Rocky shoreline with scattered pebbles"", ""Waves transformed into stationary rocks"", ""Shoreline with no moving water and pebbles"", ""Still waters replaced by scattered rocks"", ""Rocky beach with no flowing water"", ""Stationary rocks代替了流动的海浪"", ""No moving water, only scattered pebbles on the shore"", ""Transformed waves into stationary rocks on the shore"", ""Rocky coastline with no water movement"", ""Stationary rocks replacing the waves on the shore""]"
68/26512247,"The video transitions to follow a path, showcasing the natural surroundings as if walking along a trail.","[""Follow the path through the forest"", ""Natural trail with rocks and moss"", ""Walking along a scenic forest path"", ""Exploring the forest on a winding path"", ""Pathway through the lush forest"", ""Nature walk following a forest trail"", ""Rocky path in the heart of the forest"", ""Forest journey on a natural pathway"", ""Moss-covered trail in the woods"", ""Tranquil walk along a forest path""]"
7/3074011,A muscular male torso with a focus on the back muscles.,"[""Muscular man flexing his back muscles"", ""Focus on the back muscles of a muscular man"", ""Man showcasing his back muscles"", ""Back muscles highlighted in a muscular man"", ""Muscular male torso with back focus"", ""Muscular man flexing his back"", ""Back muscles emphasized in a muscular man"", ""Muscular man flexing his back muscles"", ""Focus on the back muscles of a muscular man"", ""Muscular man flexing his back""]"
